date,strategy,strategy_raw,direction,entry_time,entry_price,exit_strategy,exit_time,exit_price,pnl
2024-11-08,exhaustion,放棄，bb>0.75後反向突破,S,09:01,23704,移動停損,09:44,23730,-26
2024-11-11,skip,放棄，有行情但無策略,,,,,,,
2024-11-12,exhaustion,放棄，bb<0.25後反向突破,B,08:59,23154,移動停損,10:12,23123,-31
2024-11-13,exhaustion,放棄，bb<0.25後反向突破,B,08:59,22870,滿足最大預估振幅,09:50,22972,102
2024-11-14,reversal,關鍵價轉折,S,09:51,22832,滿足最大預估振幅,10:19,22621,211
2024-11-15,reversal,關鍵價轉折,S,09:20,22905,移動停損,,22808,97
2024-11-18,skip,放棄，無訊號,,,,,,,
2024-11-19,skip,放棄，有行情但無策略,,,,,,,
2024-11-20,exhaustion,放棄，bb>0.75後反向突破,S,09:07,22888,移動停損,10:40,22843,45
2024-11-21,reversal,關鍵價轉折,S,09:26,22624,移動停損,10:24,22618,6
2024-11-22,esthl,開盤區間突破新高/低,B,09:00,22885,移動停損,09:47,22930,45
2024-11-25,exhaustion,放棄，bb>0.75後反向突破,S,08:59,23179,移動停損,,23255,-76
2024-11-26,esthl_costline,開盤區間突破成本線,S,09:05,22728,移動停損,,22789,-61
2024-11-27,reversal,關鍵價轉折,S,09:15,22669,移動停損,11:45,22541,128
2024-11-28,esthl_costline,開盤區間突破成本線,S,09:04,22323,移動停損,10:48,22235,88
2024-11-29,skip,放棄，有行情但無策略,,,,,,,
